Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       10.06.21
Time:       15:04
Revision:   31449
Variant:    AV1
Units used: mm

"Designator,""Comment"",""Layer"",""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Rotation"",""Description"""
"Sen1,""SHT40-AD1B"",""TopLayer"",""SHT4x-xD1"",""34.9000"",""6.0000"",""180"",""SENSOR HUMID/TEMP 3.6V I2C 1.8% SMD"""
"C8,""100n"",""TopLayer"",""C_0402"",""8.6000"",""11.2000"",""90"",""GENERAL CAPACITOR"""
"R5,""10k"",""TopLayer"",""R_0402"",""9.8000"",""5.2000"",""0"",""GENERAL RESISTOR"""
"R4,""47R"",""TopLayer"",""R_0402"",""9.8000"",""4.2000"",""180"",""GENERAL RESISTOR"""
"R3,""47R"",""TopLayer"",""R_0402"",""13.3000"",""4.6000"",""0"",""GENERAL RESISTOR"""
"C10,""1u"",""TopLayer"",""C_0402"",""15.6000"",""9.8000"",""180"",""GENERAL CAPACITOR"""
"C5,""100p"",""TopLayer"",""C_0402"",""7.7000"",""2.5800"",""270"",""GENERAL CAPACITOR"""
"ST1,""5055670671"",""TopLayer"",""MOLEX_5055670671"",""20.3950"",""4.7475"",""0"",""CONN HEADER SMD R/A 6POS 1.25MM"""
"C4,""100p"",""TopLayer"",""C_0402"",""9.4000"",""2.6000"",""270"",""GENERAL CAPACITOR"""
"R2,""47R"",""TopLayer"",""R_0402"",""6.7000"",""2.5800"",""90"",""GENERAL RESISTOR"""
"R1,""47R"",""TopLayer"",""R_0402"",""10.4000"",""2.6000"",""90"",""GENERAL RESISTOR"""
"D1,""DF5A6.2LJE,LM"",""TopLayer"",""SOT553"",""12.2000"",""2.8000"",""270"",""TVS DIODE 5VWM ESV"""
"Sen2,""SGP41-CDN"",""TopLayer"",""SGPx41"",""14.8490"",""11.7420"",""180"",""AIR QUALITY GAS SENSOR FOR VOC AND NOX"""
"R6,""4R7"",""TopLayer"",""R_0402"",""13.0411"",""9.7902"",""0"",""GENERAL RESISTOR"""
"IC1,""TCR2EE28,LM(CT"",""TopLayer"",""SOT553"",""2.2860"",""2.5400"",""180"",""IC REG LINEAR 2.8V 200MA ESV"""
"C9,""1u"",""TopLayer"",""C_0402"",""12.5000"",""12.1000"",""90"",""GENERAL CAPACITOR"""
"C7,""100n"",""TopLayer"",""C_0402"",""33.2000"",""6.0000"",""90"",""GENERAL CAPACITOR"""
"C1,""1u"",""TopLayer"",""C_0402"",""1.9000"",""4.5000"",""180"",""GENERAL CAPACITOR"""
"C2,""1u"",""TopLayer"",""C_0603"",""4.3000"",""2.7000"",""270"",""GENERAL CAPACITOR"""
"C3,""100n"",""TopLayer"",""C_0402"",""5.5000"",""2.7000"",""270"",""GENERAL CAPACITOR"""
"IC2,""STM32G030F6P6"",""TopLayer"",""TSSOP65P640X120-20N"",""4.5250"",""8.8500"",""270"",""IC MCU ARM MICROCONTROLLERS"""
"C6,""100n"",""TopLayer"",""C_0402"",""5.1627"",""13.2283"",""180"",""GENERAL CAPACITOR"""
